ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
4010,Installation of Solar Water Pump,EKI Energy Services Limited,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-I.B.,Under validation,India,37,Asia,,2023-01-17,2030-01-16,54.050000000000004
4011,Qinghai Taiheyuan Swine Farm Manure Management System GHG Mitigation Project,"Qinghai Taiheyuan Agriculture Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"37,258",Asia,2024-03-16,2021-10-08,2028-10-07,59.65
4012,8 MW NongKhai Waste to Energy Project in Thailand,"Nongkhainayu Co., Ltd",Waste handling and disposal,,AMS-I.D.; AMS-III.E.,Under validation,Thailand,"44,165",Asia,,2023-01-01,2029-12-31,76.25000000000001
4014,Sinop Landfill Gas to Electricity Project,Biokütle Enerji Elektrik Üretim Anonim Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,Turkey,"37,688",Middle East,2024-06-25,2021-07-01,2028-06-30,80.45
4015,Sanergy Composting Group Project,"Circular Impact, Inc.",Waste handling and disposal,,ACM0022,Registered,Kenya,"33,658",Africa,2024-10-25,2022-06-01,2029-05-31,74.85000000000001
4016,Amazon Biome Conservancy Grouped REDD+ Project,Systemica Inteligência em Sustentabilidade S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Registration requested,Brazil,"97,926",Latin America,,2022-11-19,2052-11-18,37.45
4018,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S. & Canada Project #2,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Verification approval requested,United States,"38,857",North America,2024-10-18,2019-01-02,2026-01-01,56.25
4019,CO2 UTILIZATION IN CONCRETE - REMOVALS & REDUCTIONS – CarbonCure – Asia #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Verification approval requested,Singapore,"84,821",Asia,2024-11-06,2022-01-03,2029-01-02,58.55
4020,CO2 Utilization in Concrete – Removals & Reductions – CarbonCure – U.S & Canada Project #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Registered,Bolivia,"15,814",Latin America,2025-06-12,2022-01-04,2029-01-03,59.65
4021,Sustainable Agriculture Project by Arvind in India,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration and verification approval request denied,India,"79,875",Asia,,2020-03-10,2027-03-09,59.050000000000004
